A,Time
56400,4.86400498545e-06
56500,5.12000524822e-06
56600,5.12000524111e-06
56700,4.86400497834e-06
56800,5.12000524111e-06
56900,5.12000524111e-06
57000,5.12000524822e-06
57100,5.12000524822e-06
57200,4.86400497834e-06
57300,5.12000524111e-06
57400,5.12000524111e-06
57500,5.12000524822e-06
57600,5.12000524822e-06
57700,5.12000524111e-06
57800,5.12000524111e-06
57900,5.12000524111e-06
58000,4.86400497834e-06
58100,5.12000524822e-06
58200,5.12000524822e-06
58300,5.12000524111e-06
58400,4.86400497834e-06
58500,5.12000524111e-06
58600,5.12000524111e-06
58700,4.86400498545e-06
58800,5.12000524822e-06
58900,5.12000524111e-06
59000,4.86400497834e-06
59100,4.86400497834e-06
59200,5.12000524111e-06
59300,5.12000524822e-06
59400,4.86400498545e-06
59500,4.86400497834e-06
59600,5.88800602941e-06
59700,5.12000524822e-06
59800,5.12000524111e-06
59900,4.86400497834e-06
60000,5.12000524111e-06
60100,5.12000524111e-06
60200,5.12000524822e-06
60300,5.12000524111e-06
60400,4.86400497834e-06
60500,5.12000524111e-06
60600,5.12000524111e-06
60700,4.86400498545e-06
60800,4.86400498545e-06
60900,4.86400497834e-06
61000,4.86400497834e-06
61100,4.86400497834e-06
61200,5.12000524111e-06
61300,5.12000524822e-06
61400,4.86400498545e-06
61500,5.12000524111e-06
61600,4.86400497834e-06
61700,4.86400497834e-06
61800,5.12000524111e-06
61900,5.12000524822e-06
62000,5.12000524822e-06
62100,4.86400497834e-06
62200,5.12000524111e-06
62300,4.86400497834e-06
62400,5.12000524111e-06
62500,4.86400498545e-06
62600,4.86400498545e-06
62700,4.86400497834e-06
62800,5.12000524111e-06
62900,4.86400497834e-06
63000,4.86400497834e-06
63100,5.12000524111e-06
63200,5.12000524822e-06
63300,5.12000524822e-06
63400,4.86400497834e-06
63500,5.12000524111e-06
63600,5.12000524111e-06
63700,4.86400497834e-06
63800,5.12000524822e-06
63900,5.12000524111e-06
64000,4.86400497834e-06
64100,5.12000524111e-06
64200,5.12000524111e-06
64300,5.12000524111e-06
64400,4.86400498545e-06
64500,4.86400497834e-06
64600,5.12000524111e-06
64700,5.12000524111e-06
64800,4.86400497834e-06
64900,4.86400498545e-06
65000,5.12000524111e-06
65100,5.12000524111e-06
65200,5.12000524111e-06
65300,4.86400497834e-06
65400,5.12000524822e-06
65500,5.12000524822e-06
65600,5.12000524111e-06
65700,4.86400497834e-06
65800,4.86400497834e-06
65900,5.12000524111e-06
66000,5.12000524111e-06
66100,4.86400498545e-06
66200,5.12000524111e-06
66300,4.86400497834e-06
66400,5.12000524111e-06
66500,4.86400497834e-06
66600,4.86400497834e-06
66700,5.12000524822e-06
66800,5.12000524111e-06
66900,4.86400497834e-06
67000,5.12000524111e-06
67100,4.86400497834e-06
67200,5.12000524822e-06
67300,5.12000524822e-06
67400,4.86400497834e-06
67500,4.86400497834e-06
67600,5.12000524111e-06
67700,5.12000524822e-06
67800,5.63200576664e-06
67900,7.93600812443e-06
68000,4.86400498545e-06
68100,4.86400498545e-06
68200,5.12000524111e-06
68300,5.12000524111e-06
68400,5.12000524111e-06
68500,5.12000524822e-06
68600,4.86400497834e-06
68700,4.86400497834e-06
68800,6.14400629217e-06
